Artist,Album,Song,Lyric,SongNum,Year,lyrics_clean,sentiment
...AND OCEANS,A.M.G.O.D.,Tears Have No Name,"Under the dark sky we stand
Under heavy rain we walk
Your hand in mine, my eyes in tears
Here where heaven is forgiven
Here where tears have no name

[Chorus:]
Wet as rain
I kiss your tears
Tears don't cry
They have no name

As the dark water pours down
We grow like wild summer roses
With no sun in sight
No footsteps left behind
All this love built on pain
Still the tears have no name

[Chorus]

The last touch of your cold lips
That light, that warm desire
Through the holes of the night
We slide in the night
In oceans of heaven
The tears have no name

Our eyes filled with black tears of heaven
Flowers drowned in the darkening oceans
In solitude we all do the same
Coz our tears have no name

The angel of my dream
Carried away to the stars
Hurt by your cruelty
I breath your beauty
Alone in the rain
With tears that have no name

",3,2001,"under the dark sky we stand
under heavy rain we walk
your hand in mine my eyes in tears
here where heaven is forgiven
here where tears have no name

chorus
wet as rain
i kiss your tears
tears dont cry
they have no name

as the dark water pours down
we grow like wild summer roses
with no sun in sight
no footsteps left behind
all this love built on pain
still the tears have no name

chorus

the last touch of your cold lips
that light that warm desire
through the holes of the night
we slide in the night
in oceans of heaven
the tears have no name

our eyes filled with black tears of heaven
flowers drowned in the darkening oceans
in solitude we all do the same
coz our tears have no name

the angel of my dream
carried away to the stars
hurt by your cruelty
i breath your beauty
alone in the rain
with tears that have no name",-0.0013071895424836522
...AND OCEANS,A.M.G.O.D.,Esprit De Corps,"Seducer sun shine on me
Familiar scene, fever dream, hallucination
This beauty of paradise
Even pigs might fly
We're all mesmerised like flies 'round shit

[Chorus:]

Pigs, pigs, pigs
Esprit de corps
Pigs, pigs, pigs
You're the victims

Fertile sun, love of life
Philosophic suicide or cyanide
Illumination sunday sun sing tonight
Sing my cherub parasites
Gentle as lambs
Can be cursed by the light called sanity

[Chorus]

Mirage's your guiding star
Last breath before the dark
When your heart's in the mouth
I lead you up the garden path

[Chorus]

",4,2001,"seducer sun shine on me
familiar scene fever dream hallucination
this beauty of paradise
even pigs might fly
were all mesmerised like flies round shit

chorus

pigs pigs pigs
esprit de corps
pigs pigs pigs
youre the victims

fertile sun love of life
philosophic suicide or cyanide
illumination sunday sun sing tonight
sing my cherub parasites
gentle as lambs
can be cursed by the light called sanity

chorus

mirages your guiding star
last breath before the dark
when your hearts in the mouth
i lead you up the garden path

chorus",0.19250000000000003
...AND OCEANS,A.M.G.O.D.,Odious Lamp_ Devious,"The black iris devours pictures in silence
The image of devils light my consonance
The I of consolation
The eye of consolidation

Graves are the garden trees
Dead all flowers and so are we
Silent moves of the summer flies
Engraved clouds below divided skies
Insect influx, the scent of the dogs
My sweet flower, and insect on the cross

[Chorus:]

Darkly wise odour of the evil tongues
Odious and devious
I despise
Jinx of eden
Black paradise

Lips of times of secret 
Murmur evil sprouts
Purges the redeemer
Purge

The angel of voices
Injected by silence
Last breath of nails
Needles and icons
The eye of consolidation
The I of consolation
Taste the lips of ancient pleasures
Eat the fruit of darkly treasures

[Chorus]

",5,2001,"the black iris devours pictures in silence
the image of devils light my consonance
the i of consolation
the eye of consolidation

graves are the garden trees
dead all flowers and so are we
silent moves of the summer flies
engraved clouds below divided skies
insect influx the scent of the dogs
my sweet flower and insect on the cross

chorus

darkly wise odour of the evil tongues
odious and devious
i despise
jinx of eden
black paradise

lips of times of secret 
murmur evil sprouts
purges the redeemer
purge

the angel of voices
injected by silence
last breath of nails
needles and icons
the eye of consolidation
the i of consolation
taste the lips of ancient pleasures
eat the fruit of darkly treasures

chorus",-0.12564102564102564
...AND OCEANS,A.M.G.O.D.,Of Devlish Tongues,"Night swells to distant spheres
Silent throat of unholy times
The withering wind deep down here
Flesh of the gods bleeding as light

Here in the environs of heaven
The am sun am outshined one
The idea of beauty is ebony
The last am on my balcony

Forever people suffer in silence
Always and forever drifting to dark waters
The sand of time, still ominous
As scultured cherubs of the ether
The idea of beauty is ebony
The last am on my balcony

""The am sun, my ebony sun""

Erratic firmament and the perishing clouds
Descending angels, formless divine
To inherit light and silence, so profound
The devlish eyes of the reptile

Here in the environs of heaven
The am sun am outshined one
The idea of beauty is ebony
The last am on my balcony

",6,2001,"night swells to distant spheres
silent throat of unholy times
the withering wind deep down here
flesh of the gods bleeding as light

here in the environs of heaven
the am sun am outshined one
the idea of beauty is ebony
the last am on my balcony

forever people suffer in silence
always and forever drifting to dark waters
the sand of time still ominous
as scultured cherubs of the ether
the idea of beauty is ebony
the last am on my balcony

the am sun my ebony sun

erratic firmament and the perishing clouds
descending angels formless divine
to inherit light and silence so profound
the devlish eyes of the reptile

here in the environs of heaven
the am sun am outshined one
the idea of beauty is ebony
the last am on my balcony",0.043434343434343436
...AND OCEANS,A.M.G.O.D.,Postfuturistika,"Opulent kinetic sculptures
Visualized voices in motion
Plastic puppet pictures
Audial dances distortion

Dead stars, dead stars
Oh yes we are dead stars inwards

I am the pulse of achromatic idols
The fix of cyclic icons
In the land of nod
The orb of angels 
And the horns after gods 
Adored through a needle

Opulent kinetic sculptures
Visualized voices in motion
Plastic puppet pictures
Audial dances distortion

Dead stars, dead stars
Oh yes we are dead stars inwards

In the land of nod
The orb of angels 
And the horns after gods 
Adored through a needle

",7,2001,"opulent kinetic sculptures
visualized voices in motion
plastic puppet pictures
audial dances distortion

dead stars dead stars
oh yes we are dead stars inwards

i am the pulse of achromatic idols
the fix of cyclic icons
in the land of nod
the orb of angels 
and the horns after gods 
adored through a needle

opulent kinetic sculptures
visualized voices in motion
plastic puppet pictures
audial dances distortion

dead stars dead stars
oh yes we are dead stars inwards

in the land of nod
the orb of angels 
and the horns after gods 
adored through a needle",-0.19999999999999998
...AND OCEANS,Cypher,Fragile Pictures Of Silence Melting The Skies,"The nights fall and skies fall
Down here we the sinners crawl
In dead cities and empty streets
All in ruins, but silence never sleeps

[Chorus:]
This world is fragile
Alone and silent
This world is fragile
And we are absent

Under melting skies - Into cold light

",1,2002,"the nights fall and skies fall
down here we the sinners crawl
in dead cities and empty streets
all in ruins but silence never sleeps

chorus
this world is fragile
alone and silent
this world is fragile
and we are absent

under melting skies  into cold light",-0.08950617283950618
...AND OCEANS,Cypher,Silhouette In White Rooms Vacant Bodies,"The light of the sun - is so cold down here
My dirty desert tongue - licking like dogs forever
Open wounds never heal - for a slave in its flesh
The scent of joy we feel - A naked soul crushed

[Chorus:]
It's all empty - it's all white
It's all empty - empty as the sky

Silence &amp; happiness in one - but way too many insects
You, yours and all of them - you are all like rats
Crawl into the light cold - celebrate your new skin
Dead and clean to the wound - An escapee of all sins

[Chorus]

",10,2002,"the light of the sun  is so cold down here
my dirty desert tongue  licking like dogs forever
open wounds never heal  for a slave in its flesh
the scent of joy we feel  a naked soul crushed

chorus
its all empty  its all white
its all empty  empty as the sky

silence amp happiness in one  but way too many insects
you yours and all of them  you are all like rats
crawl into the light cold  celebrate your new skin
dead and clean to the wound  an escapee of all sins

chorus",0.03934077618288147
...AND OCEANS,Cypher,Comatose The World Amnesia Planet Dead,"I love this world
And these people, the beautiful ones
I love this world
And your goddamn sun

I love this world
And the family of fragile dreams
I love this world
When the world goes to sleep

[Chorus:]
You're so pretty - planet dead
You're so pretty - planet dead
You're so pretty - planet dead
You're so pretty - planet dead

I love this world
Empty with its black holes
I love this world
And the ones without a soul

I love this world
With a bullet for each one
I love this world
When tomorrow never comes

[Chorus]

",11,2002,"i love this world
and these people the beautiful ones
i love this world
and your goddamn sun

i love this world
and the family of fragile dreams
i love this world
when the world goes to sleep

chorus
youre so pretty  planet dead
youre so pretty  planet dead
youre so pretty  planet dead
youre so pretty  planet dead

i love this world
empty with its black holes
i love this world
and the ones without a soul

i love this world
with a bullet for each one
i love this world
when tomorrow never comes

chorus",0.23916666666666667
...AND OCEANS,Cypher,Debris The Magenta Harvest Liquid Flesh,"There lies a body: cold, bloated and empty
Like all the other: victims together
The happiness in silence: good without pretence
And the last day: with a smile on the face

There lies a body: pretty soak in ebony
Like all the worms: in their corridors
Liquid flesh endowed: to impure the ground
And the fallen souls: make the flowers grow

[Chorus:]
We float, drift and pass away
For ever and a day

The debris of time falls into oblivion
As heavens open its gates of lies
Gone is the light of the sun
And nigh is the final harvest of life

",12,2002,"there lies a body cold bloated and empty
like all the other victims together
the happiness in silence good without pretence
and the last day with a smile on the face

there lies a body pretty soak in ebony
like all the worms in their corridors
liquid flesh endowed to impure the ground
and the fallen souls make the flowers grow

chorus
we float drift and pass away
for ever and a day

the debris of time falls into oblivion
as heavens open its gates of lies
gone is the light of the sun
and nigh is the final harvest of life",0.13863636363636364
...AND OCEANS,Cypher,Nail An Odyssey In Flesh Celebrate The New Skin,"Touch me!
I am a disease!
Clean me!
Imprisoned in flesh I am!
I am sin!

Smell me!
I am a slave!
Release me!
The impure flesh I am!
I am pleasure!

Taste me!
I am life!
Kill me!
Punishment I am!
I am beauty!

Feel me!
I am cold!
Cleanse me!
Purify me from all life!
I am free!




",13,2002,"touch me
i am a disease
clean me
imprisoned in flesh i am
i am sin

smell me
i am a slave
release me
the impure flesh i am
i am pleasure

taste me
i am life
kill me
punishment i am
i am beauty

feel me
i am cold
cleanse me
purify me from all life
i am free",0.05555555555555558
...AND OCEANS,Cypher,Picturesque Cataclysm Saviour And The Little Things That Make Us Smile,"Savour!
The things that never were!
Escape!
To/from reality!
That never was!
That never will be!

Prohibit!
All the little things!
Crawl!
Into serenity!
That could've been!
That will never be!

[Chorus:]
Smile - I said smile you slime

Smile!
It's all falling apart!
Plunge!
Into catastrophe!
That was today!
That remains the same!

[Chorus]

It's all falling apart

[Chorus]

",2,2002,"savour
the things that never were
escape
tofrom reality
that never was
that never will be

prohibit
all the little things
crawl
into serenity
that couldve been
that will never be

chorus
smile  i said smile you slime

smile
its all falling apart
plunge
into catastrophe
that was today
that remains the same

chorus

its all falling apart

chorus",0.1425
...AND OCEANS,Cypher,Angelina Chthonian Earth Her Face Forms Worms,"Another day another night
It's all the same, but is it forever
Another way another time
Silence and happiness now together
Another end another life
It's all the same; it's all over
Another smile for parasites
And the dogs that can smell her

[Chorus:]
Can't you see the light? Can't you see the light?
No, no, no, no
Can't you see the light? Can't you see the light?
No, no, no, no
Can't you see the light? Can't you see the light?
No, no, no, no
Can't you see the light? Can't you see the light?
No, no, no, no

Another face another smile
Nails carving deeper and deeper
Another eye another sight
Seeing nothing never and ever
Another form another light
Crawling higher, higher and higher
Another skin another white
And a sun that is brighter

[Chorus]

Another voice another sigh
Calling stronger and stronger
Another scent another life
Now smell the filth odour
Another taste another try
On your tongue the fruit so bitter
Another world another side
In control to crush your soul

[Chorus]

Another face another form
It is her face that forms worms

",3,2002,"another day another night
its all the same but is it forever
another way another time
silence and happiness now together
another end another life
its all the same its all over
another smile for parasites
and the dogs that can smell her

chorus
cant you see the light cant you see the light
no no no no
cant you see the light cant you see the light
no no no no
cant you see the light cant you see the light
no no no no
cant you see the light cant you see the light
no no no no

another face another smile
nails carving deeper and deeper
another eye another sight
seeing nothing never and ever
another form another light
crawling higher higher and higher
another skin another white
and a sun that is brighter

chorus

another voice another sigh
calling stronger and stronger
another scent another life
now smell the filth odour
another taste another try
on your tongue the fruit so bitter
another world another side
in control to crush your soul

chorus

another face another form
it is her face that forms worms",0.2921052631578947
...AND OCEANS,Cypher,Halcyon The Heavy Silence In Silent Rain,"Listen: the fragile world is silent
Tongues speak a voice of decay
Of the melting skies and the heavy rains
About the odours of life so distant
We stand as silhouettes of today
Empty as the sky with our bodies vacant

[Chorus:]
Heavy is the silence of today
This world will fall - our world will fall
Into the silence of today
It will fall as the silent rain

Feel: the presence is a stolen moment
Lost are we in the lives of dismay
Between horizons and the limbo grey
Bloated we swim in the scent
Soon time eats the life away
But, I hope there's a little life in us left

[Chorus]

",4,2002,"listen the fragile world is silent
tongues speak a voice of decay
of the melting skies and the heavy rains
about the odours of life so distant
we stand as silhouettes of today
empty as the sky with our bodies vacant

chorus
heavy is the silence of today
this world will fall  our world will fall
into the silence of today
it will fall as the silent rain

feel the presence is a stolen moment
lost are we in the lives of dismay
between horizons and the limbo grey
bloated we swim in the scent
soon time eats the life away
but i hope theres a little life in us left

chorus",-0.08375000000000002
...AND OCEANS,Cypher,Aphelion Light Evanescence Into Extinction,"It's a crime - it is a crime to be innocent
In life - in this life and presence
All life - all life is indifferent
Now's when - when all's past and gone

[Chorus:]
Turn away - fade away
Turn away - fade away

It's a crime - it is a crime to be silent
When colours - when colours have no nuance
You little - you little insects
Splashed out - splashed out of all essence

Fade away - fade away
Fade away - closer every day

[Chorus]

",5,2002,"its a crime  it is a crime to be innocent
in life  in this life and presence
all life  all life is indifferent
nows when  when alls past and gone

chorus
turn away  fade away
turn away  fade away

its a crime  it is a crime to be silent
when colours  when colours have no nuance
you little  you little insects
splashed out  splashed out of all essence

fade away  fade away
fade away  closer every day

chorus",-0.025
...AND OCEANS,Cypher,Opaque The Morning I Woke Up Dead Today Is The Day,"[Chorus:]
Today is the day - the world is going away
Today is the day - we're all going away

When will we dream away; end this life in dismay
See the last sad rays, as flowers we wither away

[Chorus]

When will time eat us away; our dead faces portray
Turn all of us cold and grey, the years will sweep us away

[Chorus]

",6,2002,"chorus
today is the day  the world is going away
today is the day  were all going away

when will we dream away end this life in dismay
see the last sad rays as flowers we wither away

chorus

when will time eat us away our dead faces portray
turn all of us cold and grey the years will sweep us away

chorus",-0.26999999999999996
...AND OCEANS,Cypher,Aphid Devil Flower Fruits Of Lunacy,"As flowers on the grave of earth inferno
We are all good people
Dressed not in white we are
Ascendants of heaven
In a symbolic imaginative essence
Descending angels we are
Falling as rain to impure the ground
And to flourish as flowers
Before we wither
With a scent of heavenly dew

As time that gnaws on the bones of life
We are the floating liquid flesh
The crawling sinners we are
Melting the heavens
As death silences all sweet voices
Renders of the clouds we are
Swarming as sinners to the universal presence of the fall
And to taste the fruits of lunacy
Before we fall
Into a devilish exercise

",7,2002,"as flowers on the grave of earth inferno
we are all good people
dressed not in white we are
ascendants of heaven
in a symbolic imaginative essence
descending angels we are
falling as rain to impure the ground
and to flourish as flowers
before we wither
with a scent of heavenly dew

as time that gnaws on the bones of life
we are the floating liquid flesh
the crawling sinners we are
melting the heavens
as death silences all sweet voices
renders of the clouds we are
swarming as sinners to the universal presence of the fall
and to taste the fruits of lunacy
before we fall
into a devilish exercise",0.32999999999999996
